name,image,category,tag,stockBadge,sizes,colors,season,desc,moq
"Premium Kids' Casual Shoes","img/儿童鞋1.jpg","kids-shoes","Kids'","In Stock","22-35","6 Colors","All Season","High-quality casual shoes for kids with durable rubber soles and comfortable inner lining. Perfect for everyday wear and outdoor activities.","300 pcs"
"Fashion Kids' Sneakers","img/儿童鞋2.jpg","kids-shoes","Kids'","In Stock","24-38","5 Colors","All Season","Stylish sneakers with breathable mesh upper and anti-slip sole. Lightweight and comfortable for active kids.","250 pcs"
"Boys' Sports Running Shoes","img/儿童鞋3.jpg","kids-shoes","Kids'","Limited","26-40","4 Colors","All Season","Professional sports shoes with cushioning insole and shock-absorbing technology. Ideal for running and sports activities.","200 pcs"
"Cute Baby Romper Set","img/婴儿套装1.jpg","baby-rompers","Baby","In Stock","3M-24M","8 Colors","All Season","Soft cotton romper sets for babies with adorable patterns. Includes matching hat and booties. Gentle on baby's skin.","500 pcs"
"Newborn Bodysuit Pack","img/婴儿套装2.jpg","baby-rompers","Baby","In Stock","0M-18M","10 Colors","All Season","Pack of newborn bodysuits made from premium organic cotton. Snap closures for easy diaper changes.","600 pcs"
"Baby Onesie Collection","img/婴儿套装3.jpg","baby-rompers","Baby","Limited","3M-24M","6 Colors","All Season","Cute printed onesies with envelope neck design. Soft, stretchable fabric for maximum comfort.","400 pcs"
"Girls' Princess Party Dress","img/儿童公主裙1.jpg","girls-princess","Girls'","In Stock","3-12Y","4 Colors","Spring/Summer","Elegant princess dress with tulle skirt and lace details. Perfect for birthdays, parties, and special occasions.","200 pcs"
"Royal Ball Gown Dress","img/儿童公主裙2.jpg","girls-princess","Girls'","In Stock","4-14Y","3 Colors","Spring/Summer","Luxurious ball gown with layered skirt and sparkling embellishments. Fit for a little princess.","150 pcs"
"Flower Girl Princess Dress","img/儿童公主裙3.jpg","girls-princess","Girls'","Limited","3-10Y","5 Colors","Spring/Summer","Beautiful flower girl dress with floral embroidery and satin ribbon. Ideal for weddings and formal events.","180 pcs"
"Kids' Floral Print Dress","img/儿童花布连衣裙1.jpg","girls-printed","Girls'","In Stock","3-12Y","6 Colors","Summer","Pretty floral print dress with comfortable cotton fabric. Breathable and stylish for summer days.","250 pcs"
"Girls' Hawaiian Dress","img/儿童花布连衣裙2.jpg","girls-printed","Girls'","In Stock","4-14Y","5 Colors","Summer","Hawaiian style floral dress with ruffled sleeves and hem. Vibrant prints perfect for vacation.","200 pcs"
"Cotton Floral Sundress","img/儿童花布连衣裙3.jpg","girls-printed","Girls'","In Stock","3-10Y","7 Colors","Summer","Lightweight cotton sundress with beautiful floral patterns. Comfortable and easy to care for.","300 pcs"
"Boys' 2-Piece Casual Set","img/儿童套装1.jpg","boys-sets","Kids'","In Stock","3-12Y","5 Colors","All Season","Comfortable 2-piece set including t-shirt and pants. Made from soft cotton for everyday wear.","300 pcs"
"Kids' Tracksuit Set","img/儿童套装2.jpg","boys-sets","Kids'","In Stock","4-14Y","4 Colors","All Season","Sporty tracksuit set with zip-up jacket and matching pants. Great for school and outdoor activities.","250 pcs"
"Children's Playwear Set","img/儿童套装3.jpg","boys-sets","Kids'","In Stock","3-10Y","6 Colors","All Season","Durable playwear set designed for active kids. Stain-resistant fabric and reinforced seams.","280 pcs"
"Boys' Fashion 2-Piece Set","img/男童套装1.jpg","boys-sets","Boys'","In Stock","4-12Y","4 Colors","Spring/Fall","Stylish boys' outfit with button-down shirt and shorts/pants. Perfect for casual occasions.","200 pcs"
"Little Boys' Smart Set","img/男童套装2.jpg","boys-sets","Boys'","In Stock","3-10Y","5 Colors","Spring/Fall","Fashionable boys' two-piece set with modern design. High-quality fabric for comfort and style.","220 pcs"
"Boys' Casual Outfit","img/男童套装3.jpg","boys-sets","Boys'","Limited","5-14Y","3 Colors","Spring/Fall","Trendy boys' casual set with hoodie and jeans. Comfortable yet stylish for everyday wear.","180 pcs"
"Women's Elegant Maxi Dress","img/成人连衣裙1.jpg","womens-dresses","Women's","In Stock","S-XXL","4 Colors","Spring/Summer","Elegant maxi dress with flowing fabric and flattering silhouette. Perfect for formal events and special occasions.","150 pcs"
"Fashion Women's Midi Dress","img/成人连衣裙2.jpg","womens-dresses","Women's","In Stock","S-XXL","6 Colors","Spring/Summer","Stylish midi dress with modern design and comfortable fit. Versatile for work or casual outings.","180 pcs"
"Ladies' Summer Dress","img/成人连衣裙3.jpg","womens-dresses","Women's","Limited","S-XXL","5 Colors","Summer","Lightweight summer dress with beautiful prints. Breathable fabric for hot weather comfort.","120 pcs"
"Boys' Formal Suit Set","img/男童西装1.jpg","boys-formal","Boys'","In Stock","4-14Y","3 Colors","All Season","Handsome formal suit for boys with jacket, vest, pants, and tie. Perfect for weddings and special events.","100 pcs"
"Kids' Tuxedo Set","img/男童西装2.jpg","boys-formal","Boys'","In Stock","5-12Y","2 Colors","All Season","Classic tuxedo set with black jacket, white shirt, and bow tie. Formal wear for special occasions.","80 pcs"
"Smart Boys' Blazer Set","img/男童西装3.jpg","boys-formal","Boys'","Limited","4-10Y","4 Colors","All Season","Stylish blazer set with tailored fit. Includes blazer and matching pants for a complete look.","90 pcs"
"Classic School Backpack","img/书包1.jpg","school-bags","Kids'","In Stock","One Size","6 Colors","All Season","Durable school backpack with multiple compartments and padded shoulder straps. Ergonomic design for comfortable carrying.","300 pcs"
"Student Book Bag","img/书包2.jpg","school-bags","Kids'","In Stock","One Size","5 Colors","All Season","Stylish student book bag with reflective strips for safety. Large capacity for textbooks and supplies.","250 pcs"
"Elementary School Bag","img/书包3.jpg","school-bags","Kids'","In Stock","One Size","4 Colors","All Season","Cute cartoon-themed school bag with lightweight design. Perfect for elementary school students.","280 pcs"
"Trendy Casual Backpack","img/潮流背包1.jpg","stylish-backpacks","Unisex","In Stock","One Size","5 Colors","All Season","Fashionable everyday backpack with modern design. Durable material and comfortable straps for daily use.","200 pcs"
"Fashion Travel Backpack","img/潮流背包2.jpg","stylish-backpacks","Unisex","In Stock","One Size","4 Colors","All Season","Spacious travel backpack with multiple pockets and laptop compartment. Ideal for trips and commuting.","180 pcs"
"Urban Style Backpack","img/潮流背包3.jpg","stylish-backpacks","Unisex","Limited","One Size","3 Colors","All Season","Urban street style backpack with sleek design. Water-resistant fabric for all weather conditions.","150 pcs"
"Designer Brand Bags","img/品牌包1.jpg","branded-bags","Women's","In Stock","One Size","4 Colors","All Season","Premium branded fashion bags with elegant design. High-quality materials and craftsmanship.","80 pcs"
"Luxury Handbags","img/品牌包2.jpg","branded-bags","Women's","In Stock","One Size","3 Colors","All Season","Luxury handbags with sophisticated design. Perfect for formal occasions and everyday luxury.","60 pcs"
"Premium Shoulder Bags","img/品牌包3.jpg","branded-bags","Women's","Limited","One Size","5 Colors","All Season","Premium quality shoulder bags with stylish design. Durable hardware and premium leather.","70 pcs"
"Girls' Cute Handbag Set","img/儿童手袋套装1.jpg","handbag-sets","Girls'","In Stock","One Size","6 Colors","All Season","Adorable handbag set for little girls with matching accessories. Cute and colorful designs.","200 pcs"
"Kids' Purse Set","img/儿童手袋套装2.jpg","handbag-sets","Girls'","In Stock","One Size","5 Colors","All Season","Pretty purse set with mini bags and coin purses. Perfect for dress-up and pretend play.","220 pcs"
"Little Girls' Bag Collection","img/儿童手袋套装3.jpg","handbag-sets","Girls'","In Stock","One Size","7 Colors","All Season","Collection of cute bags for little girls. Includes shoulder bag, crossbody, and mini backpack.","250 pcs"
"Soft Kids' Slippers","img/儿童拖鞋1.jpg","kids-slippers","Kids'","In Stock","22-36","6 Colors","All Season","Ultra-soft plush slippers for kids with anti-slip sole. Warm and comfortable for indoor wear.","300 pcs"
"Cartoon House Slippers","img/儿童拖鞋2.jpg","kids-slippers","Kids'","In Stock","20-34","5 Colors","All Season","Cute cartoon-themed slippers with soft lining. Perfect for home and casual indoor use.","280 pcs"
"Comfort Kids' Slippers","img/儿童拖鞋3.jpg","kids-slippers","Kids'","In Stock","22-38","4 Colors","All Season","Comfortable home slippers with memory foam insole. Supportive and warm for all-day wear.","260 pcs"
"Premium Cotton Fabric Roll","img/纯棉布料1.jpg","cotton-fabric","Fabric","In Stock","150cm Width","12 Colors","All Season","High-quality 100% cotton fabric roll. Soft, breathable, and perfect for garment production. Available in multiple colors.","50 meters"
"Plain Cotton Textile","img/纯棉布料2.jpg","cotton-fabric","Fabric","In Stock","145cm Width","10 Colors","All Season","Plain cotton textile with smooth texture. Ideal for shirts, dresses, and various apparel items.","30 meters"
"Soft Cotton Material","img/纯棉布料3.jpg","cotton-fabric","Fabric","Limited","160cm Width","8 Colors","All Season","Premium soft cotton material with excellent draping quality. Perfect for high-end clothing production.","40 meters"
"Floral Print Summer Dress","img/花布连衣裙1.jpg","girls-printed","Girls'","In Stock","4-12Y","6 Colors","Summer","Beautiful floral print summer dress with lightweight fabric. Perfect for sunny days and beach vacations.","220 pcs"
"Garden Print Dress","img/花布连衣裙2.jpg","girls-printed","Girls'","In Stock","3-10Y","5 Colors","Summer","Charming garden print dress with ruffled details. Sweet and stylish for young girls.","200 pcs"
"Spring Floral Dress","img/花布连衣裙3.jpg","girls-printed","Girls'","In Stock","5-14Y","4 Colors","Spring","Lovely spring floral dress with comfortable fit. Ideal for outdoor activities and family outings.","180 pcs"
"Vintage Cotton Tee Collection","img/复古T恤.jpeg","mens summer","Men's","In Stock","S-XXL","7 Colors","Summer","Premium 100% cotton tees in a full spectrum of colors. Breathable, moisture-wicking fabric with a soft hand feel.","200 pcs"
"Insulated Hooded Parka","img/派克冲锋衣.jpeg","womens winter","Women's","In Stock","S-XXL","3 Colors","Winter","Modern insulated parka with structured hood and quilted lining. Water-resistant shell with premium zipper closures.","150 pcs"
"Acid-Wash Streetwear Tank","img/水洗背心.jpeg","kids summer","Kids'","In Stock","S-XL","3 Colors","Summer","Trendy acid-wash sleeveless tank with a distressed vintage finish. Relaxed streetwear silhouette.","250 pcs"
"Cool-Touch Polo Shirt","img/冰爽POJO衫.jpeg","mens summer","Men's","Limited","S-XXL","4 Colors","Summer","Lightweight performance polo with contrast placket detailing. Cool-touch technical fabric.","180 pcs"
"Quick-Dry Performance Tee","img/速干T恤（促销）.jpeg","womens summer","Women's","In Stock","S-XXL","5 Colors","Summer","Premium quick-dry fabric with excellent breathability and moisture-wicking. Promotional pricing available.","120 pcs"
"Oversized Fleece Hoodie","img/卫衣.jpeg","unisex winter","Unisex","In Stock","S-3XL","6 Colors","Winter","Oversized hoodie in premium fleece with drawstring hood and kangaroo pocket. Street-style essential.","200 pcs"
"Distressed Oversized Tee Dress","img/做旧潮T恤衫.jpeg","mens summer","Men's","In Stock","S-XL","4 Colors","Summer","Acid-wash oversized tee dress with a trendy streetwear aesthetic. Relaxed silhouette.","160 pcs"